,ñkäCìπ,ê¬êX,ä‚éË,ã{èÈ,èHìc,éRå`,ïüìá,àÔèÈ,ì»ñÿ,åQîn,çÈã ,êÁót,ìåãû,ê_ìﬁêÏ,êVäÉ,ïxéR,êŒêÏ,ïüà‰,éRóú,í∑ñÏ,äÚïå,ê√â™,à§ím,éOèd,é†âÍ,ãûìs,ëÂç„,ï∫å…,ìﬁó«,òaâÃéR,íπéÊ,ìáç™,â™éR,çLìá,éRå˚,ìøìá,çÅêÏ,à§ïQ,çÇím,ïüâ™,ç≤âÍ,í∑çË,åFñ{,ëÂï™,ã{çË,é≠éôìá,â´ìÍ
ñkäCìπ,2081424.65753,1312.32876712,309.589041096,915.068493151,202.739726027,13.698630137,153.424657534,465.753424658,13.698630137,2.7397260274,49.3150684932,547.945205479,16315.0684932,10.9589041096,254.794520548,76.7123287671,95.8904109589,16.4383561644,0.0,52.0547945205,0.0,109.589041096,1731.50684932,0.0,0.0,43.8356164384,2400.0,676.712328767,0.0,0.0,0.0,0.0,60.2739726027,104.109589041,0.0,0.0,0.0,49.3150684932,0.0,534.246575342,0.0,0.0,0.0,0.0,0.0,2.7397260274,0.0
ê¬êX,1328.76712329,158049.315068,1405.47945205,1668.49315068,457.534246575,38.3561643836,112.328767123,46.5753424658,84.9315068493,19.1780821918,460.273972603,279.452054795,4038.35616438,243.835616438,32.8767123288,10.9589041096,10.9589041096,8.21917808219,8.21917808219,24.6575342466,8.21917808219,46.5753424658,106.849315068,2.7397260274,2.7397260274,57.5342465753,189.04109589,16.4383561644,0.0,2.7397260274,0.0,0.0,5.47945205479,16.4383561644,2.7397260274,0.0,2.7397260274,0.0,0.0,5.47945205479,0.0,0.0,0.0,0.0,0.0,2.7397260274,0.0
ä‚éË,227.397260274,1380.82191781,145287.671233,4547.94520548,1484.93150685,49.3150684932,512.328767123,446.575342466,109.589041096,27.397260274,564.383561644,243.835616438,3846.57534247,312.328767123,24.6575342466,8.21917808219,5.47945205479,5.47945205479,10.9589041096,32.8767123288,10.9589041096,87.6712328767,167.123287671,5.47945205479,5.47945205479,68.4931506849,246.575342466,21.9178082192,0.0,2.7397260274,0.0,0.0,10.9589041096,21.9178082192,5.47945205479,0.0,5.47945205479,2.7397260274,0.0,5.47945205479,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ã{èÈ,931.506849315,1668.49315068,4345.20547945,567216.438356,1076.71232877,6753.42465753,7150.68493151,536.98630137,397.260273973,104.109589041,1408.21917808,660.273972603,10786.3013699,619.178082192,282.191780822,35.6164383562,71.2328767123,8.21917808219,27.397260274,153.424657534,24.6575342466,172.602739726,575.342465753,5.47945205479,13.698630137,128.767123288,1167.12328767,52.0547945205,2.7397260274,2.7397260274,2.7397260274,2.7397260274,24.6575342466,71.2328767123,10.9589041096,0.0,8.21917808219,2.7397260274,252.054794521,183.561643836,0.0,0.0,2.7397260274,0.0,0.0,0.0,115.068493151
èHìc,191.780821918,460.273972603,838.356164384,1079.45205479,117057.534247,186.301369863,43.8356164384,16.4383561644,35.6164383562,189.04109589,279.452054795,112.328767123,2728.76712329,183.561643836,79.4520547945,8.21917808219,8.21917808219,5.47945205479,2.7397260274,13.698630137,2.7397260274,24.6575342466,115.068493151,0.0,2.7397260274,24.6575342466,150.684931507,5.47945205479,0.0,0.0,0.0,0.0,2.7397260274,2.7397260274,0.0,0.0,0.0,0.0,0.0,2.7397260274,0.0,0.0,0.0,0.0,0.0,0.0,0.0
éRå`,13.698630137,38.3561643836,32.8767123288,6942.46575342,208.219178082,120942.465753,808.219178082,24.6575342466,95.8904109589,27.397260274,452.054794521,726.02739726,3227.39726027,216.438356164,216.438356164,8.21917808219,8.21917808219,2.7397260274,8.21917808219,43.8356164384,8.21917808219,591.780821918,71.2328767123,2.7397260274,5.47945205479,54.7945205479,167.123287671,13.698630137,0.0,0.0,0.0,0.0,5.47945205479,10.9589041096,2.7397260274,0.0,0.0,0.0,0.0,2.7397260274,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ïüìá,147.945205479,112.328767123,512.328767123,7191.78082192,43.8356164384,663.01369863,176578.082192,1720.54794521,1090.4109589,49.3150684932,1410.95890411,747.945205479,9638.35616438,443.835616438,219.178082192,8.21917808219,8.21917808219,10.9589041096,580.821917808,57.5342465753,21.9178082192,106.849315068,147.945205479,8.21917808219,10.9589041096,120.547945205,287.671232877,52.0547945205,2.7397260274,2.7397260274,0.0,0.0,16.4383561644,35.6164383562,8.21917808219,0.0,5.47945205479,2.7397260274,0.0,10.9589041096,0.0,0.0,0.0,0.0,0.0,0.0,0.0
àÔèÈ,452.054794521,63.0136986301,32.8767123288,613.698630137,16.4383561644,27.397260274,2030.1369863,358761.643836,5920.54794521,372.602739726,9668.49315068,38912.3287671,94547.9452055,2156.16438356,90.4109589041,13.698630137,10.9589041096,21.9178082192,1109.5890411,63.0136986301,24.6575342466,150.684931507,197.260273973,8.21917808219,16.4383561644,161.643835616,216.438356164,205.479452055,5.47945205479,5.47945205479,2.7397260274,2.7397260274,24.6575342466,41.095890411,19.1780821918,0.0,8.21917808219,5.47945205479,0.0,16.4383561644,0.0,0.0,2.7397260274,2.7397260274,0.0,0.0,0.0
ì»ñÿ,13.698630137,84.9315068493,112.328767123,402.739726027,35.6164383562,95.8904109589,1120.54794521,5947.94520548,207317.808219,4523.28767123,20690.4109589,1235.61643836,30268.4931507,2136.98630137,117.808219178,284.931506849,19.1780821918,10.9589041096,654.794520548,257.534246575,24.6575342466,178.082191781,241.095890411,8.21917808219,16.4383561644,186.301369863,241.095890411,90.4109589041,2.7397260274,8.21917808219,2.7397260274,2.7397260274,24.6575342466,52.0547945205,10.9589041096,0.0,5.47945205479,5.47945205479,0.0,16.4383561644,0.0,0.0,2.7397260274,2.7397260274,0.0,0.0,0.0
åQîn,2.7397260274,21.9178082192,27.397260274,106.849315068,189.04109589,27.397260274,49.3150684932,369.863013699,6356.16438356,160438.356164,18000.0,884.931506849,17895.890411,1183.56164384,597.260273973,32.8767123288,43.8356164384,10.9589041096,19.1780821918,805.479452055,13.698630137,104.109589041,139.726027397,2.7397260274,8.21917808219,597.260273973,150.684931507,54.7945205479,5.47945205479,2.7397260274,0.0,0.0,16.4383561644,27.397260274,5.47945205479,0.0,5.47945205479,2.7397260274,0.0,8.21917808219,0.0,0.0,0.0,2.7397260274,0.0,0.0,0.0
çÈã ,52.0547945205,446.575342466,542.465753425,1775.34246575,268.493150685,424.657534247,1304.10958904,9542.46575342,19509.5890411,18726.0273973,2496191.78082,77775.3424658,1325547.94521,21073.9726027,1775.34246575,147.945205479,213.698630137,24.6575342466,460.273972603,3131.50684932,63.0136986301,646.575342466,564.383561644,24.6575342466,49.3150684932,295.890410959,506.849315068,235.616438356,8.21917808219,19.1780821918,5.47945205479,5.47945205479,68.4931506849,106.849315068,30.1369863014,0.0,19.1780821918,13.698630137,2.7397260274,43.8356164384,2.7397260274,2.7397260274,5.47945205479,5.47945205479,0.0,5.47945205479,0.0
êÁót,547.945205479,284.931506849,263.01369863,720.547945205,115.068493151,202.739726027,1331.50684932,38758.9041096,2019.17808219,868.493150685,76726.0273973,2922887.67123,1090156.16438,32230.1369863,706.849315068,63.0136986301,87.6712328767,46.5753424658,728.767123288,895.890410959,136.98630137,1293.15068493,2427.39726027,27.397260274,79.4520547945,602.739726027,2052.05479452,441.095890411,13.698630137,38.3561643836,5.47945205479,5.47945205479,134.246575342,564.383561644,65.7534246575,2.7397260274,32.8767123288,21.9178082192,5.47945205479,430.136986301,5.47945205479,5.47945205479,5.47945205479,8.21917808219,0.0,5.47945205479,273.97260274
ìåãû,16279.4520548,4076.71232877,3772.60273973,10394.5205479,2736.98630137,3624.65753425,8430.1369863,91649.3150685,30704.109589,18756.1643836,1329158.90411,1096594.52055,23515235.6164,1932197.26027,11232.8767123,2257.53424658,3309.5890411,882.191780822,20928.7671233,13668.4931507,1726.02739726,28320.5479452,22147.9452055,1213.69863014,945.205479452,11854.7945205,30531.5068493,6575.34246575,158.904109589,452.054794521,1024.65753425,843.835616438,3172.60273973,5679.45205479,1676.71232877,1073.97260274,1947.94520548,2027.39726027,1147.94520548,12482.1917808,413.698630137,1860.2739726,2495.89041096,1512.32876712,1687.67123288,3005.47945205,6969.8630137
ê_ìﬁêÏ,10.9589041096,249.315068493,334.246575342,690.410958904,186.301369863,232.876712329,504.109589041,1904.10958904,2087.67123288,835.616438356,20884.9315068,32002.739726,1926432.87671,7431619.17808,756.164383562,68.4931506849,134.246575342,613.698630137,2265.75342466,794.520547945,375.342465753,20613.6986301,5693.15068493,98.6301369863,304.109589041,3167.12328767,4882.19178082,1326.02739726,35.6164383562,90.4109589041,30.1369863014,32.8767123288,484.931506849,835.616438356,219.178082192,8.21917808219,117.808219178,65.7534246575,13.698630137,336.98630137,16.4383561644,21.9178082192,30.1369863014,27.397260274,2.7397260274,21.9178082192,0.0
êVäÉ,252.054794521,32.8767123288,561.643835616,282.191780822,87.6712328767,224.657534247,227.397260274,87.6712328767,112.328767123,572.602739726,1917.80821918,643.835616438,11750.6849315,1221.91780822,355084.931507,394.520547945,241.095890411,68.4931506849,21.9178082192,800.0,189.04109589,123.287671233,301.369863014,5.47945205479,16.4383561644,550.684931507,780.821917808,52.0547945205,2.7397260274,5.47945205479,2.7397260274,2.7397260274,21.9178082192,38.3561643836,8.21917808219,0.0,5.47945205479,2.7397260274,0.0,93.1506849315,0.0,0.0,2.7397260274,2.7397260274,0.0,2.7397260274,52.0547945205
ïxéR,73.9726027397,10.9589041096,8.21917808219,35.6164383562,8.21917808219,8.21917808219,8.21917808219,13.698630137,284.931506849,35.6164383562,158.904109589,57.5342465753,2202.73972603,65.7534246575,391.780821918,155175.342466,5068.49315068,369.863013699,5.47945205479,1210.95890411,131.506849315,54.7945205479,630.136986301,405.479452055,49.3150684932,731.506849315,1010.95890411,101.369863014,597.260273973,8.21917808219,2.7397260274,2.7397260274,30.1369863014,65.7534246575,16.4383561644,0.0,10.9589041096,5.47945205479,2.7397260274,49.3150684932,2.7397260274,2.7397260274,8.21917808219,5.47945205479,0.0,5.47945205479,0.0
êŒêÏ,95.8904109589,10.9589041096,8.21917808219,73.9726027397,8.21917808219,8.21917808219,8.21917808219,10.9589041096,19.1780821918,43.8356164384,219.178082192,90.4109589041,3301.36986301,120.547945205,600.0,5123.28767123,195723.287671,1830.1369863,2.7397260274,43.8356164384,147.945205479,109.589041096,1528.76712329,334.246575342,805.479452055,813.698630137,2145.20547945,175.342465753,10.9589041096,13.698630137,5.47945205479,5.47945205479,49.3150684932,90.4109589041,24.6575342466,0.0,16.4383561644,8.21917808219,2.7397260274,249.315068493,2.7397260274,2.7397260274,10.9589041096,8.21917808219,0.0,8.21917808219,104.109589041
ïüà‰,16.4383561644,8.21917808219,5.47945205479,8.21917808219,5.47945205479,2.7397260274,10.9589041096,21.9178082192,10.9589041096,10.9589041096,24.6575342466,43.8356164384,879.452054795,180.821917808,38.3561643836,183.561643836,1824.65753425,109706.849315,2.7397260274,16.4383561644,76.7123287671,76.7123287671,1178.08219178,5.47945205479,569.863013699,1202.73972603,1586.30136986,158.904109589,10.9589041096,1063.01369863,5.47945205479,5.47945205479,35.6164383562,57.5342465753,16.4383561644,0.0,10.9589041096,8.21917808219,2.7397260274,73.9726027397,2.7397260274,5.47945205479,8.21917808219,5.47945205479,0.0,8.21917808219,0.0
éRóú,0.0,8.21917808219,10.9589041096,30.1369863014,2.7397260274,8.21917808219,580.821917808,30.1369863014,364.383561644,19.1780821918,715.068493151,1846.57534247,19895.890411,2953.42465753,21.9178082192,5.47945205479,2.7397260274,2.7397260274,109408.219178,1821.91780822,10.9589041096,1145.20547945,1863.01369863,2.7397260274,5.47945205479,63.0136986301,104.109589041,27.397260274,0.0,2.7397260274,0.0,0.0,8.21917808219,13.698630137,5.47945205479,0.0,2.7397260274,2.7397260274,0.0,8.21917808219,0.0,0.0,0.0,0.0,0.0,0.0,0.0
í∑ñÏ,52.0547945205,60.2739726027,32.8767123288,156.164383562,13.698630137,43.8356164384,57.5342465753,60.2739726027,254.794520548,830.136986301,2772.60273973,690.410958904,14545.2054795,764.383561644,830.136986301,1243.83561644,43.8356164384,16.4383561644,1701.36986301,337704.109589,1616.43835616,443.835616438,3221.91780822,13.698630137,720.547945205,312.328767123,1295.89041096,134.246575342,5.47945205479,8.21917808219,8.21917808219,2.7397260274,38.3561643836,65.7534246575,19.1780821918,0.0,13.698630137,8.21917808219,2.7397260274,90.4109589041,2.7397260274,2.7397260274,5.47945205479,5.47945205479,0.0,2.7397260274,0.0
äÚïå,0.0,8.21917808219,10.9589041096,24.6575342466,2.7397260274,8.21917808219,21.9178082192,21.9178082192,27.397260274,13.698630137,60.2739726027,128.767123288,1698.63013699,389.04109589,189.04109589,136.98630137,131.506849315,84.9315068493,10.9589041096,1506.84931507,216397.260274,586.301369863,98298.630137,953.424657534,1731.50684932,1175.34246575,1309.5890411,238.356164384,8.21917808219,16.4383561644,8.21917808219,8.21917808219,68.4931506849,120.547945205,38.3561643836,189.04109589,21.9178082192,10.9589041096,5.47945205479,90.4109589041,8.21917808219,8.21917808219,16.4383561644,10.9589041096,0.0,10.9589041096,0.0
ê√â™,112.328767123,46.5753424658,87.6712328767,172.602739726,24.6575342466,591.780821918,482.191780822,142.465753425,169.863013699,136.98630137,583.561643836,1167.12328767,27926.0273973,22252.0547945,123.287671233,57.5342465753,106.849315068,76.7123287671,1331.50684932,441.095890411,572.602739726,671375.342466,16791.7808219,306.849315068,161.643835616,1849.31506849,2616.43835616,545.205479452,21.9178082192,38.3561643836,24.6575342466,27.397260274,191.780821918,298.630136986,87.6712328767,5.47945205479,63.0136986301,41.095890411,19.1780821918,408.219178082,19.1780821918,24.6575342466,54.7945205479,35.6164383562,5.47945205479,57.5342465753,82.1917808219
